date,suggestions,ballots,winner_votes,all_votes,winner_difference
2021-11-22T02:40:14.383724281Z,28,76,35,35,5
2021-11-22T03:31:43.409829789Z,27,61,25,25,2
2021-12-05T22:24:39.007788718Z,28,77,34,34,10
2021-12-06T00:06:28.933317378Z,29,80,24,24,1
2021-12-06T02:08:43.772091416Z,28,72,36,36,6
2021-12-06T03:35:40.015378585Z,31,61,33,33,8
2021-12-13T01:04:52.935794982Z,28,76,37,37,9
2021-12-13T01:30:08.762239116Z,28,81,35,35,11
2021-12-13T01:50:59.273621429Z,28,76,37,37,7
2021-12-13T02:14:45.900300672Z,28,72,31,31,5
2021-12-19T22:24:51.753033125Z,27,75,45,45,21
2021-12-20T00:41:07.061876257Z,27,77,33,33,2
2021-12-20T02:29:52.950624844Z,28,66,33,33,0
2021-12-20T04:01:12.673741185Z,29,65,30,30,6
2017-03-26T19:46:03.387260818Z,8,79,61,61,3
2017-03-26T21:11:16.05893655Z,7,100,84,84,33
2017-03-26T22:34:34.531535468Z,8,73,58,58,8
2017-03-26T23:20:17.120951475Z,9,80,65,65,16
2017-04-09T20:37:55.190532934Z,9,106,84,84,12
2017-04-09T21:42:50.560379043Z,9,101,78,78,6
2017-04-09T23:33:42.407810162Z,9,106,86,86,2
2017-04-10T00:37:59.571059039Z,10,71,59,59,16
2017-04-10T02:17:30.915416832Z,25,66,37,37,8
2017-04-16T19:42:05.73848588Z,8,97,76,76,10
2017-04-16T21:38:56.222254865Z,7,96,85,85,7
2017-04-16T23:16:00.81298801Z,8,87,70,70,18
2017-04-17T00:34:00.592646989Z,10,94,69,69,4
2017-04-23T19:40:58.384118689Z,9,91,63,63,6
2017-04-23T21:40:20.148972269Z,8,106,82,82,23
2017-04-23T23:17:08.294441894Z,10,106,65,65,16
2017-04-24T01:02:13.634106529Z,9,90,60,60,7
2017-04-24T02:51:16.015340898Z,14,14,7,7,0
2017-04-24T03:05:28.285482092Z,13,18,17,17,5
2017-05-07T19:46:47.124911373Z,10,134,103,103,26
2017-05-09T22:24:49.697449485Z,9,56,39,39,12
2017-05-10T00:23:17.718615063Z,12,64,42,42,5
2017-05-10T02:21:09.014198916Z,14,45,25,25,5
2017-05-14T19:59:27.43687332Z,12,131,78,78,6
2017-05-14T22:23:48.194370767Z,16,88,59,59,12
2017-05-15T00:30:28.95743812Z,11,73,56,56,13
2017-05-15T01:59:35.992175666Z,13,74,47,47,3
2017-05-21T19:39:13.796519062Z,9,115,83,83,4
2017-05-21T21:12:45.581820782Z,10,126,88,88,15
2017-05-21T23:04:30.607272074Z,13,92,54,54,8
2017-05-22T01:01:52.212105333Z,13,77,46,46,1
