,name,votes,winner,win_difference
0,Flora mid human transformation,6,False,0
9214,"Mike kisses Evals who is reluctant at first, but then gets more into it (both male) ",8,False,0
9065,"Keiren, in his Lion Keidran form, on a date with Reni in her Cat Keidran form",1,False,0
11112,"Tom on vacation, sunbathing at the seaside. Behind him is Flora about to dump a bucket of water over him and Trace running to stop her.",23,False,0
11103,Cat Nora body pillow ,3,False,0
11104,Zen and Kat running away from a snowman they made that turns on them after they used mana crystals as decorations on it,2,False,0
11105,Trace is asleep in bed with Cat Nora sleeping curled up on him. Flora lurking in the background prepares to pounce on the fluffy intruder.,0,False,0
11106,"VV Mike in pirate costume proves to be the better swashbuckler besting Jenny in a duel, proclaiming, ""I'm the captain now.""",2,False,0
11107,"So, you just gave us a pov of Nat pinning Keith... So how about a pov of Keith pinning Nat?",2,False,0
11108,"Prepare for boarding! Captain Jenny raids Erik's ship, but he's too interested in painting her to be scared",2,False,0
11109,"Natani, Zen and Keith as the Spanish Inquisition from Monty Python. Nobody expects the Spanish Inquisition!",1,False,0
11110,"From normal schoolgirl to heroine, Magical girl Maeve!",3,False,0
11111,Lynn writes down gossip from the main cast while lurking offscreen,1,False,0
11114,Trace meets Kaylia and mistakes this alternate reality proto-Flora for the real Flora somehow. Kaylia is confused and Flora is mad.,0,False,0
11078,"Gender Swap AU: On the ship to the Basitin Isles, Keith learns Natani's secret",1,False,0
11115,Willow body pillow,4,False,0
11116,A group of villagers and or Trace scolding Red for calling The Chimera a monster.,4,False,0
11117,"Prior to Trace and the others showing up, a group of teens sneak into 'the creepy old house on the hill' as a dare, only for Rose and the estate to mess with them.",4,False,0
11118,"After the encounter with Red, Raine finds the chimera in the bathroom",8,False,0
11119,"Thomas the Tank Engine version of characters.  Trace the tank engine, Zen and Red as troublesome trucks, and Natani the helicopter.",6,False,0
11120,Modern AU: Laura helping a spooked Kat beat a horror game late at night,6,False,0
11121,"Demon tiger Trace 3: Trace comes to his senses, and is filled with remorse after realizing he attacked his (unscathed) love, Flora, who gladly comforts him",4,False,0
11122,"Sequel to Wolf Mary: young Mary Silverlock gets caught by another Templar in her Keidran transformation while disrobed and feeling her fur. Not being recognized and mistaken for an actual Keidran, Mary's kicked out before she can explain, left without clothes and unable to change back.",5,False,0
11123,Redraw of Sahra-Ki (The Scarred One) (AU Older Flora),2,False,0
11102,Sketch Idea: She’s Not a Lady (Redraw),0,False,0
11101,"Zen and Raine, sitting on a hood of a car in a drive in theater. Sharing a tub of popcorn, and watching a cheesy monster movie.",9,False,0
11100,Good Morning Adelaide ,16,False,0
11099,"Reni version of Doggy Dragon, with a blushing Reni wagging her tail and acting playful, quite involuntarily.",1,False,0
11080,Sythe druid of the forest (with nibbly),31,True,0
11081,In the modern AU:  Zen and Nat are racing each other on 4 wheel ATVs with Kat and Keith hanging on for dear life.,5,False,0
11082,Kat uses her capabilities as a seamstress to create and try out clothes on Willow,3,False,0
11083,Alternate scene of VV Mike at the Oasis with Evals,2,False,0
11084,"Willow lurking in a pond, her head half above the water and with a frog on her head, like a crocodile about to strike. She then leap-hugs the Kat and Laura staring at her before dragging them in.",0,False,0
11085,"Super Saiyan Jade Adelaide, plus a small panel with Musclehead General and Alaric commenting on her power level.",3,False,0
11086,Raine (wolf form) on the beach getting frustrated with a bikini that somehow keeps falling off. A mischievous Cat keidran Nora in the background is responsible. ,13,False,0
11087,"Maddie, Karen and Maeve brushing Long Haired Kat and playing with her hair by putting accessories on it.",2,False,0
11088,"TK main four as the Vault Hunters from Borderlands 3 (Flora as Moze, Trace as Fl4k, Keith as Zane, Natani as Amara)",5,False,0
11089,ProtoFlora meets Flora,20,False,0
11090,"AU: Kathrin and Laura as ambassadors returned from the newly contacted human lands. They're giving a presentation on a baffling, yet intriguing human custom: clothing!",23,False,0
11091,Young Rom and Rem grumble and complain about the new assassin brothers Zen and Natani taking their gimmick.,1,False,0
11092,Hairstylist Kat? ,0,False,0
11093,Willow’s Selfie 3: Kat and Laura try to cash in on the clout from Willow’s selfie by doing a stream completely in the nude. ,2,False,0
11094,Zen as Loki the trickster god.,2,False,0
