,name,votes,winner,win_difference
0,"Sequel to vote incentive strips: Kat and Flora doing laundry, folding clothes and underwear that match their fur patterns.",7,False,0
3901,Laura and Trace hugging while looking at the moon (kissing is optional),7,False,0
2067,"Amelia invites Windstraw's sister, Nightstar, to a new year's celebration party, only to find out how much more troublesome two drunk cats are than one",7,False,0
2064,"Trace and Flora flying home on Reni's back after some Christmas shopping, Trace presenting a little early present for her as he rubs her belly and hugs her, saying ""I already have all I need for Christmas~.""",7,False,0
7154,Clovis changes Nora's curse. Now he's a human woman.,7,False,0
6989,"Flora mistakes, & tries to use, a bra for underpants ",7,False,0
3550,Cat Keidran Spy sequel: The cat keidran try rescue their comrade- except thanks to Kat's pampering he doesn't wanna leave!,7,False,0
1816,"The Northern Basitin gives her wolf the big news at dinner, and seeing Nat and Keith's reaction before and after.",7,False,0
6751,"Trace, Keith, Flora, Natani, Zen, Kat, & Mrs. Nibbly playing poker (Dogs Playing poker style)",7,False,0
3085,"Laura, Raine, (Keidran)Maren, and Reni do the male swimsuit challenge",7,False,0
245,"All species orphanage caretaker's origin: she was a researcher for the Templars, back when Mary Silverlock was still Grand Templar. She joined them to gain their resources; to achieve her goal in helping Keidran live longer and Basitin use magic.",7,False,0
3747,"Dark AU : After regaining his memories. Trace Legacy returns to the heart of the Templars operations with his new wife, Flora. A keidran woman who appears just as sinister as her husband.",7,False,0
2455,What did the first dragon look like?,7,False,0
2102,"Kat tries to mess around with Cat Nora by using a laser. But to Kat's surprise, Nora actually catches the red dot.",7,False,0
2142,"Amelia invites Windstraw's sister, Nightstar, to a new year's celebration party, only to find out how much more troublesome two drunk cats are than one",7,False,0
6896,"""Dogs playing Poker"" famous painting parodied with dog/wolf Keidran",7,False,0
2133,Good Morning Very Vixen Wolf Maren together with Kat for some reason :),7,False,0
3405,Good morning wolf Maren,7,False,0
3715,Professor Raine: Magic 101: The basics and first things aspiring mages learn about formal magic.,7,False,0
3775,"Christmas Crashers:  Young Reni and Raine topple the Christmas tree, to Mary's dismay.",7,False,0
979,"Normal Cats 4: Kathrin and her cat ""Max"" have recently gotten back from their outing (to the vet). Max now has on the cone of shame.",7,False,0
169,Pin-up poster girl Laura in celebration of Flat Fox Friday.,7,False,0
6807,Young Rose Daki,7,False,0
6757,Young Keith training w/ Alaric,7,False,0
964,"A Day of the Dead altar to commemorate the lives of Saria, Alaric, Laura, Rose, and Brutus.",7,False,0
2738,"Sequel to Tracksuits. Trace and Flora drive Lada on road.  Doesn't matter which side, in Russia road is road, driver where you want!",7,False,0
1928,"Chimera goes ""shopping"" for new body parts in a destroyed keidran village. ""Oh, this top looks cute""",7,False,0
2758,"Flora, Kat, Laura, Adira, and Chimera dressed as can-can dancers, doing chorus-line high kick. Chimera's leg is flying off into the audience",7,False,0
1305,Good morning Erilas,7,False,0
3735,"Zen and Raine slowly ice skate dancing together, on a frozen pond in a city park late at night. ",7,False,0
1966,"Tigress Trace  Dressed in a Traditional White and Blue Hanfu, and Flora Red Qipao to celebrate The Year Of the Tiger.",7,False,0
6758,Flora having trouble seeing Tiger Trace while they are out on a winter walk.,7,False,0
1335,"Diplomatic mishap, Sythe and Maren visit the Eastern Basitins but are dressed for the West",7,False,0
1855,"Raine and Maren in their wolf forms, cleaning up after Clovis' assault while wearing maid dresses they found, although they are a bit too skimpy for their tastes.",7,False,0
3128,Flora and Trace wearing Tony and Pepper’s respective Iron Man suits from Avengers: Endgame. Possibly in a similar pose to the back-to-back laser assault,7,False,0
1019,"Sythe has fallen off his bike, but Maren is there to kiss him and make it all better.",7,False,0
2538,Flora looking down from Legacy Estate at the farm she used to live at while holding her child.,7,False,0
3857,AU Adelaide is transformed into a mama wolf for her adopted kids Zen and Natani.,7,False,0
254,"Redraw of Pants-Free-Policy, only with Therie carrying Daniels' pants in her mouth.",7,False,0
3076,Mike confides to Evals how uncomfortable being transformed makes him. Evals proceeds to absolutely deck the person who just walked up to them demanding Mike boobs.,7,False,0
2152,"What a party! the snow wolf and northern basitin wake in a vary messed up room and lots of bottles and both of them in bed together, and notice the Snow leopard couple making breakfast",7,False,0
3245,Kat trying to make baby clothes for Trace/Flora's child but being unsure of what to make considering she doesn't know if the child will have any keidran attributes.,7,False,0
2157,Carver successfully assimilated by the western basitin ladies,7,False,0
14735,Amelia finds Windstraw taking a bath in the sink along with the dishes she’s supposed to be washing.,7,False,0
414,Good morning Seraphina,7,False,0
3201,Magic 101 followup: Professor Raine teaching the basics of shaping magic and the first spells Keidran or Templar tend to learn.,7,False,0
1812,"Lady Nora encounter Eragon and Saphira chilling lying together. Confused and exited Nora tries to pry out what kind of relationship they have.  ""what do you mean ""YOUR human""?""",7,False,0
3549,Kat and Willow swap,7,False,0
3003,Chimera becomes a New Grand Templar,7,False,0
1100,Laura teaching Kat how to surf,7,False,0
1289,The seasons of Flora,7,False,0
6739,Everyone currently in trace manor in the comic having a Clue-esque murder mystery,7,False,0
1282,"Cat Clan spies are having a drink at Riftwall Tavern. One is looking defeated while wearing a post-surgery cone, the other is laughing about it.",7,False,0
1748,The wolf from puss in boots last wish. Stalking the halls of Traces mansion during all the fighting.,7,False,0
1243,"Chimera with her cart and bonesaw goes ""shopping"" for new body parts in a destroyed keidran village. ""Oh, this top looks cute""",7,False,0
2875,Maeve overhearing mean comments from Keidran costumers in the tavern on how 'human' and 'domesticated' her accent is.,7,False,0
7121,Clovis & Natani in a Cabaret with Zen as the MC,7,False,0
1510,Nora celebrates the new year by flying while fireworks are exploding all around her,7,False,0
1097,Maddie and Maeve catching frogs and dumping them into a neat pocket dimension bandage they found.,7,False,0
4037,"Evals, that handsome dog, lounging bare on a bear skin rug in front of the fireplace. Merry Christmas, ya filthy animal!",7,False,0
3289,Cat Keidran Spy sequel: The cat keidran try rescue their comrade- except thanks to Kats pampering he doesnt wanna leave!,7,False,0
2416,"Reni is recreating an album cover from the '60s called ""Whipped Cream and Other Delights"" by Herb Alpert. Basically, she's wearing nothing but whipped cream. A lot of it...",7,False,0
3236,Keith and Natani switch both species and body types.,7,False,0
1322,Gangster AU: '20s Speakeasy Matron Amelia and feather-headband flashy-outfit server Windstraw,7,False,0
15847,"Flora, Kat, and Therie dressed as the hex girls",7,False,0
3007,"Trace and Flora looking at used baby carriages in a used-car-lot-style lot full of them, with Magpie as the salesperson. Carriages could have signs like ""Low miles!"" and ""One owner!""",7,False,0
3999,"Zen and Raine slowly ice skate dancing together, on a frozen pond in a city park late at night. ",7,False,0
2787,"Welcome to Riftwall: Male Adira offers you a drink with his assistant-in-training/son by his side, Maeve. Long locs are quite a style for snow leopards these days~ for whoever is left...",7,False,0
2931,"Reni wants to know more about human romance (totally not related to Kieren or anything!). Unfortunately, she asks Eric for advice.",7,False,0
2187,"Professor Raine with Magic 101, learning the basics of casting magic and the first spells Templar and Keidran tend to practice.",7,False,0
2906,"Evil Kat: Instead of a house servant Kat works as a slaver seducing unsuspecting Keidran to ""work"" for the Vaughan Company.",7,False,0
1535,Scrooge Clovis being visited by Ghost Carver who is there to warn him that he will be visited by three spirits. ,7,False,0
2912,"VV-Mike at the Lesbian bar, besieged by other bar goers.",7,False,0
7200,Clovis changes Nora's curse. Now he's a human woman.,7,False,0
6713,Flora gets an ultrasound & Trace freaks out,7,False,0
2265,Librarian Raine returns books to their places way up on the top shelves,7,False,0
7128,"Clovis acting tsundere to Zen and/or Brutus, much to their confusion.",7,False,0
2212,"Trace and Flora flying home on Reni's back after some Christmas shopping, Trace presenting a little early present for her as he rubs her belly and hugs her, saying ""I already have all I want for Christmas~.""",7,False,0
2824,Keith and Natani Meets chimera and have many questions for Trace for example why have Trace done this.,7,False,0
2971,Tomb raider wolf Raine featuring the outfit from the original game.,7,False,0
