date,suggestions,ballots,winner_votes,all_votes,winner_difference,final_votes
2022-06-20T02:59:02.738538541Z,27,65,27,27,2,21
2022-07-18T00:10:23.281161415Z,27,81,39,39,1,29
2022-07-18T02:23:49.201283968Z,28,78,33,33,6,26
2022-07-18T03:29:42.841282423Z,27,74,35,35,3,25
2022-07-18T04:30:09.023017944Z,28,76,30,30,2,24
2022-08-08T00:39:21.640615393Z,29,87,39,39,18,36
2022-08-08T02:15:21.252999529Z,29,80,38,38,8,28
2022-08-08T03:05:02.204731981Z,29,79,41,41,11,31
2022-08-08T03:59:13.438573251Z,30,73,29,29,5,24
2022-08-14T20:57:32.293922454Z,27,88,40,40,4,31
2022-08-14T22:41:20.176899963Z,27,89,38,38,4,30
2022-08-14T23:51:34.719464105Z,26,74,37,37,2,26
2022-08-15T00:47:41.488324123Z,31,72,31,31,5,23
2022-08-21T21:09:44.481049461Z,28,86,29,29,1,26
2022-08-21T22:06:48.163339693Z,28,81,27,27,3,23
2022-08-21T23:34:24.366554256Z,28,82,40,40,7,31
2022-08-22T00:57:47.177642951Z,27,82,40,40,7,31
2022-09-04T22:21:28.240976807Z,26,76,38,38,5,28
2022-09-05T00:08:05.196224464Z,26,78,39,39,6,31
2022-09-05T01:22:22.568898269Z,25,82,37,37,3,28
2022-09-05T02:13:54.298537886Z,25,77,40,40,4,29
2022-09-11T22:19:54.244874106Z,30,94,45,45,4,32
2022-09-11T23:55:55.36814163Z,29,92,46,46,9,34
2022-09-12T01:20:46.347635061Z,29,83,38,38,7,29
2022-09-12T02:05:55.116992351Z,29,76,31,31,9,28
2022-09-18T21:54:12.482108812Z,26,78,32,32,2,27
2022-09-18T23:04:46.782955493Z,25,78,41,41,4,30
2022-09-19T01:03:17.740284975Z,26,89,52,52,11,39
2022-09-19T02:21:32.207312893Z,27,78,35,35,5,30
2022-10-02T21:47:10.727803945Z,29,90,38,38,6,33
2022-10-02T23:21:50.254440739Z,29,85,39,39,6,30
2022-10-03T02:25:17.145142305Z,29,80,42,42,22,39
2022-10-03T03:40:36.743365679Z,31,66,32,32,2,22
2022-10-16T21:52:06.871945051Z,28,87,40,40,4,30
2022-10-17T00:10:39.904043869Z,28,90,33,33,0,27
2022-10-17T01:46:15.579509046Z,28,85,40,40,4,29
2022-10-17T02:55:10.829750173Z,27,75,39,39,10,29
2022-10-23T22:43:33.518512441Z,30,87,37,37,1,28
2022-10-24T00:34:40.695282432Z,30,87,29,29,0,26
2022-10-24T01:53:01.715060959Z,30,75,28,28,0,23
2022-10-24T03:49:06.440420305Z,29,67,34,34,9,26
2022-11-06T22:22:32.769114523Z,30,76,36,36,5,28
2022-11-06T23:26:20.03483541Z,29,79,33,33,3,27
2022-11-07T00:29:37.479862168Z,29,81,41,41,14,35
2022-11-07T01:42:15.166659099Z,28,75,35,35,1,25
2022-11-13T22:38:34.20655148Z,30,92,46,46,15,38
2022-11-14T00:29:58.461256435Z,30,95,42,42,6,31
2022-11-14T01:49:06.072165533Z,29,85,41,41,5,32
2022-11-14T03:32:51.845583927Z,29,74,31,31,6,27
2022-12-11T23:18:39.516426119Z,29,78,38,38,5,29
2022-12-12T00:38:56.818447226Z,28,82,36,36,5,30
2022-12-12T02:27:26.702439415Z,29,81,34,34,6,28
2022-12-12T03:01:55.3176226Z,28,64,28,28,2,22
2022-12-18T22:38:52.049500349Z,30,84,36,36,8,28
2022-12-19T00:19:04.429826305Z,30,80,37,37,7,29
2022-12-19T02:42:37.8739912Z,30,76,27,27,3,23
2022-12-19T03:06:46.257666088Z,32,65,27,27,2,21
2023-01-15T23:25:36.129762673Z,26,79,37,37,1,26
2023-01-16T00:56:29.493722581Z,27,72,34,34,3,23
2023-01-16T02:34:20.614066041Z,27,77,37,37,7,29
2023-01-16T04:10:55.128696558Z,27,69,34,34,4,25
2023-01-22T22:25:47.241303313Z,29,86,42,42,6,31
2023-01-23T00:41:40.695850636Z,28,92,38,38,6,30
2023-01-23T01:31:12.777737071Z,28,79,33,33,2,26
2023-01-23T02:16:10.197694418Z,28,93,41,41,6,31
2023-02-05T21:20:28.159304725Z,30,88,39,39,5,31
2023-02-06T00:32:11.83929287Z,29,91,34,34,3,28
2023-02-06T01:48:41.623696637Z,29,84,34,34,2,27
2023-02-06T03:40:54.040440236Z,30,72,30,30,4,25
2022-01-02T22:03:52.026131685Z,28,78,38,38,8,29
2022-01-02T23:43:02.230912281Z,27,76,37,37,7,30
2022-01-03T01:21:54.054735012Z,28,75,38,38,1,25
2022-01-03T02:36:57.14286811Z,30,74,37,37,4,28
2022-01-09T23:00:27.859737846Z,26,84,43,43,4,32
2022-01-10T01:06:52.932453391Z,27,92,42,42,6,35
2022-01-10T02:13:06.329640715Z,27,75,34,34,7,26
2022-01-10T03:24:42.555354954Z,28,71,33,33,3,25
2022-01-23T22:27:29.089369203Z,28,74,35,35,3,23
2022-01-24T01:34:06.288396503Z,28,71,33,33,8,27
2022-01-24T03:04:32.351310396Z,28,71,39,39,13,31
