,votes,winner,win_difference,all_votes,count
total,159076,923,5579,624362,21535
others,32377,197,1184,131463,4632
trace,21678,102,576,99902,3424
flora,22185,104,590,96324,3231
keith,21682,123,809,81708,2924
kat,21720,154,872,76311,2561
natani,20316,125,882,72728,2558
raine,16475,98,562,54885,1876
laura,15352,162,988,40114,1476
nora,9524,45,280,41891,1471
mike,9441,45,237,34956,1301
zen,9693,46,202,36329,1206
reni,7396,35,172,30402,1065
clovis,6729,33,179,28588,1009
rose,5187,30,141,22568,839
evals,4691,17,118,18963,735
maddie,4552,21,154,21014,720
maeve,5028,32,227,20140,653
adelaide,4977,31,228,17857,586
willow,3050,35,166,10785,406
alaric,2571,3,19,9684,374
