,name,votes,winner,win_difference
0,"Natani as Sherlock, with Keith as Watson",6,False,0
13004,Wheel of time theme. Aes sedai Flora approaches the Dragon reborn Trace.,5,False,0
11204,"Raine tries to fix Squirrified Maren and ends up becoming merged with nibbly instead, turning into an albino anthro squirrel version of herself.",2,False,0
11209,The main group playing squid games,1,False,0
11208,"Sequel to “Headless Horsewoman”: An emergency forces Capt. Kei to commandeer and ride pony-Reni into danger, slapping her rump to spur her on.",2,False,0
11207,Human Willow,15,False,0
11205,AU: Clovis reacts to her curse by plotting to turn everyone into gender-swapped Keidran. It's not a curse if everyone's doing it. ,0,False,0
11206,"Young Zen and Raine hiding in a pile of leaves, jump scaring the heebie jeebies out of poor Rose.",22,False,0
11203,"Laura eats a sandwich, Trace eats another pretzel, and Flora eats fish custard.",5,False,0
11202,"Flora  and Trace sitting together reading book titled ""What to expect when you're expecting a Halfkind."" (Or a Twokind)",3,False,0
11201,Good morning Tigress Trace,1,False,0
11200,Flora panics and comes up with a wild story when Maeve asks her how she got pregnant.,12,False,0
11199,"Nibbly has her ""princess moment"", ala Beauty and the Beast, with Sythe but it's a vivid dream. The party has never seen a squirrel hug an acorn with such a goofy look while asleep.",1,False,0
11198,"Mike, Evals, and Kat relax at the Gender Swap Spa, where patrons' bodies change upon entry.",1,False,0
11157,"Brutus as Pinky and Clovis as Brain from ""Pinky and the Brain""",16,False,0
11163,Zen moon's Clovis,11,False,0
11162,Human and wolf girl from Getting Friendly watching movies and eating snacks together ,2,False,0
11161,What happened to the urn holding Laura's ashes.,10,False,0
11160,Flora looking down at her stomach as it growls hungrily for a good meal.,2,False,0
11159,"Twokinds meets Calvin and Hobbes! Trace sits down on a log next to Calvin, causing a pouncing Flora to collide face-first into Hobbes, who was pouncing at Calvin at the same time!",3,False,0
11197,"Flora interrupts Natani's Spanish inquisition, Dressed as Mel Brooks interpretation of Torquemada",0,False,0
11196,Kats caught trying to into Eric's room to steal a pair of his underwear well hes sleeping,1,False,0
11228,"A fluffy, winter-coated Natani mercilessly cuddling Keith; solely to keep him warm and for absolutely no other reasons",2,False,0
11180,Moviemaking universe Laura and Trace passing out wedding invitations to everyone on the seat.,11,False,0
11230,"Sequel to Dad Jokes: Natani starts making dad jokes to Keith, which then scares him half to death, thinking Natani is pregnant",2,False,0
11187,Flora as a loner from s.t.a.l.k.e.r. exploring the zone,2,False,0
11193,"Adelaide vs Natani. Expectation: A badass duel with magic and explosions and lasers and stuff and it's super cool! Reality: Natani gets absolutely bodied by Adelaide, no contest.",5,False,0
11192,"Reni hosts her own Group B tabletop game with Raine, Sythe and Zen. Time to go back into the dungeon with the dragon.",28,True,0
11191,"More on Rose's ""Last Days"" collaborating with Trace, out of love for Saria and her family.",1,False,0
11190,"Clovis lingerie, both female and male versions",1,False,0
11189,Sythe and Nibbly as Doomguy and his pet rabbit Daisy (alive),8,False,0
11188,"Sequel to wolf Mary: Young Mary uses her Keidran transformation to infiltrate a Snow Wolf village, and meets a young Euchre and Rose. The two cousins welcome and bring her to their home, while Mary is put off by them being in the fur... like her.",3,False,0
11184,Kat teaching Nora how she does massages,4,False,0
11186,"The original three as rulers throughout history. Flora a cleopatra, trace as Napoleon and Keith as well a German Kaiser.",2,False,0
11185,"Keiren riding horse Reni, and then he notices the horns and realizes that it's Reni. Reni panic-shapeshifts into a human.",2,False,0
11183,A dentist's nightmare. Dragon comes in for dental check-up,2,False,0
11182,"Cassidy catches the human male in a headlock and gives him a playful brotherly noogie, smiling and saying ""C'mere you big dork!""",1,False,0
11181,"Magic 101 from Raine, what and how do the first spells work that Templar learn.",3,False,0
11195,Flora pounces the viewer,4,False,0
11179,King Adelaide's coronation,7,False,0
11194,Mike daki (wearing matching striped thigh-highs and arm sleeves),0,False,0
11158,"Sequel to Wolf Maren Nuzzle, Maren wakes up next to Sythe with a shocked expression, and Sythe is peacefully sleeping.",1,False,0
11156,Trace and Flora out shopping for stuff they are gonna need for the baby and they run into Maren and Sythe: A coincidence or a secret revealed?,2,False,0
11155,An unsuspecting Scarlet hitting on FemMike,1,False,0
11154,The basitin couple enjoying a cool autumn day on the basitin islands,0,False,0
11132,"Trace walks in on Keith and Nat in their ""Thanksgiving rp"" with Trace gives him a thumbs up and closes the door.",8,False,0
11131,Draw Ivy reuniting with her parents,2,False,0
11130,Reni and Nora as Merfolk.,0,False,0
11129,A magical mishap transforms young Rose into a Were-Dragon,1,False,0
11128,"Ghostbusters Zen and Natani, getting berated by Madelyn and Maeve, for capturing Willow.",1,False,0
11135,Alaric and Keith's Artistic Misadventures for the Annual Basitin Exhibition: Alaric Draws Keith Like One Of His French Girls,1,False,0
11126,"Drowsy Raine sits down at the table and smooches Zen-- except that sounds like his laugh coming from by the counter, and his hair seems longer now...",3,False,0
11125,"Modern Maeve: Maeve spies a shy Basitin exchange student eating by herself in the cafeteria, and decides to join her for lunch.",2,False,0
11124,Natani in a waiters uniform snickering at Zen who is in a waitress' outfit. Then Keith accidentally flirting with the waitress and causing Natani to break down in laughter.,4,False,0
11123,"Reni joining Kathrin, Laura, And Raine for a ladies night out in the modern day. Out drinking on a lightly snowing night.",20,False,0
11122,Good night Werewolf Keith! A new spin on the idea with our new and upcoming wolves howling at the moon! ,0,False,0
11121,Young Raine and Reni collaborate to steal the Thanksgiving turkey.  Fortunately someone's parents cooked more than one.,6,False,0
11134,"Demon tiger Trace 3: Trace comes to his senses, and is filled with tearful remorse after realizing he attacked his (unscathed) love, Flora, who gladly comforts him as she strokes his head in her lap.",8,False,0
