name,date,votes,all_votes,winner,win_difference
"Natani as Sherlock, with Keith as Watson",2017-03-26T19:46:03.387260818Z,6,50,False,0
Maeve biting the wrong tail,2017-03-26T19:46:03.387260818Z,35,65,False,0
Assassin's Creed Zen and Natani crouched on a rooftop,2017-03-26T19:46:03.387260818Z,9,52,False,0
"Natani tries a gender-changing spell, but it goes through the link and changes Zen into a girl!",2017-03-26T19:46:03.387260818Z,61,61,True,3
Delivery/Pizza Tom's Job Interview,2017-03-26T19:46:03.387260818Z,21,59,False,0
Flora mid human transformation,2017-03-26T19:46:03.387260818Z,6,55,False,0
Trace having accidentally turned himself and Flora into Merfolk.,2017-03-26T19:46:03.387260818Z,10,53,False,0
Natani dressed as Sheik from Zelda,2017-03-26T19:46:03.387260818Z,3,50,False,0
Keith in Link's Gerudo outfit from Breath of the Wild,2017-03-26T21:11:16.05893655Z,12,65,False,0
The Night in the Woods characters,2017-03-26T21:11:16.05893655Z,14,55,False,0
Sawyer and/or Danny from the movie Cats Don't Dance,2017-03-26T21:11:16.05893655Z,4,45,False,0
Namah and Lilith from Dreamkeepers,2017-03-26T21:11:16.05893655Z,8,54,False,0
Flora and Kat as the SWAT Kats,2017-03-26T21:11:16.05893655Z,29,76,False,0
Tsudere wrinry the dragon girl,2017-03-26T21:11:16.05893655Z,20,61,False,0
Natani and Kat reading comics,2017-03-26T21:11:16.05893655Z,84,84,True,33
Trace as Rin from Blue Exorcist (with blue flames),2017-03-26T22:34:34.531535468Z,1,34,False,0
Twokinds crossed with MLP somehow. ¯\_(ツ)_/¯,2017-03-26T22:34:34.531535468Z,8,38,False,0
Seraphina meeting Wrinry,2017-03-26T22:34:34.531535468Z,4,44,False,0
Natani has epic magic showdown with Katia Managan (From Prequel),2017-03-26T22:34:34.531535468Z,6,47,False,0
Flora and Trace embracing under a moonlit river bath,2017-03-26T22:34:34.531535468Z,30,56,False,0
Nicolai Alaric being welcomed into Valhalla by Laura,2017-03-26T22:34:34.531535468Z,58,58,True,8
Twokinds characters wearing merchandise from major colleges that their species is a mascot of,2017-03-26T22:34:34.531535468Z,9,41,False,0
Tigress Trace dressed and Master Tigress kicking Eric's ass,2017-03-26T22:34:34.531535468Z,12,52,False,0
"Kathrin doing a spacewalk, with the general shape of the map to TwoKinds present on the planet below.",2017-03-26T23:20:17.120951475Z,7,50,False,0
Kathrin's morning stretch,2017-03-26T23:20:17.120951475Z,29,54,False,0
Maddie the circus master! Maddie disguises the group as a traveling Keidran circus,2017-03-26T23:20:17.120951475Z,12,50,False,0
Arch Mage Raine,2017-03-26T23:20:17.120951475Z,65,65,True,16
Alaric and Keith training together,2017-03-26T23:20:17.120951475Z,19,53,False,0
Clovis Virgin sweater,2017-03-26T23:20:17.120951475Z,5,59,False,0
Kat painting a portrait,2017-03-26T23:20:17.120951475Z,3,45,False,0
Sexy female Keith Keiser,2017-03-26T23:20:17.120951475Z,11,46,False,0
Maeve dressed as Freya from Final Fantasy 9,2017-03-26T23:20:17.120951475Z,9,42,False,0
"Maren opens a beauty saloon for Keidran, with Kathrin trying to get Natani groomed.",2017-04-09T20:37:55.190532934Z,40,77,False,0
Kat meets Zen,2017-04-09T20:37:55.190532934Z,20,78,False,0
Revenge of the Bitten: Kieth and Kat chew on Natani's ears,2017-04-09T20:37:55.190532934Z,84,84,True,12
Flora Zora transformation (Zelda botw),2017-04-09T20:37:55.190532934Z,11,64,False,0
Keith meet Alaric for the first time. Something from their early childhood or first training days,2017-04-09T20:37:55.190532934Z,15,79,False,0
Messenger Lynn as Phoenix Wright (Ace Attorney),2017-04-09T20:37:55.190532934Z,7,54,False,0
Trace & Eric Money Fight!,2017-04-09T20:37:55.190532934Z,4,71,False,0
Nora gives Flora advice on how to best handle Trace,2017-04-09T20:37:55.190532934Z,28,79,False,0
Maddie and Maeve Easter Egg hunt,2017-04-09T20:37:55.190532934Z,8,77,False,0
Pirate Mike and Evals ship sinking,2017-04-09T21:42:50.560379043Z,12,64,False,0
Natani in Titan form (Attack on Titan),2017-04-09T21:42:50.560379043Z,3,53,False,0
Jedi Master Raine,2017-04-09T21:42:50.560379043Z,11,59,False,0
Kathrin's Magic Lesson 2: Spell Misfire,2017-04-09T21:42:50.560379043Z,78,78,True,6
Raine having a dog dream like she's chasing something,2017-04-09T21:42:50.560379043Z,42,75,False,0
Yandere Kathrin trying to get Eric-Senpai to notice her.,2017-04-09T21:42:50.560379043Z,7,59,False,0
Trace having accidentally turned himself and Flora into Merfolk.,2017-04-09T21:42:50.560379043Z,6,54,False,0
Flora letting Maeve listen to and feel her active unborn baby,2017-04-09T21:42:50.560379043Z,17,59,False,0
Lynn/Sealeen date,2017-04-09T21:42:50.560379043Z,21,64,False,0
Raine and FemMike lending sympathetic ears to each others' transformation woes,2017-04-09T23:33:42.407810162Z,86,86,True,2
Maeve dressed as Freya from Final Fantasy 9,2017-04-09T23:33:42.407810162Z,4,57,False,0
keidranification: Maren the Kitty!,2017-04-09T23:33:42.407810162Z,29,82,False,0
Humanoid Nora dragging Adrakist trace to a party type situation,2017-04-09T23:33:42.407810162Z,10,77,False,0
Lieutenant Daniels being dragged to Shephard Square by his tiger friend,2017-04-09T23:33:42.407810162Z,22,87,False,0
Niko from OneShot in my artstyle,2017-04-09T23:33:42.407810162Z,2,44,False,0
Maddie and Maeve Easter Egg hunt,2017-04-09T23:33:42.407810162Z,12,69,False,0
Dragon Nibbly,2017-04-09T23:33:42.407810162Z,50,82,False,0
Twokinds cast as Mass Effect Andromeda cast,2017-04-09T23:33:42.407810162Z,3,50,False,0
Keith as Raiden and/or Zen as Jetstream Sam (Metal Gear Rising),2017-04-10T00:37:59.571059039Z,5,35,False,0
Twokinds cast as Mass Effect Andromeda cast,2017-04-10T00:37:59.571059039Z,1,32,False,0
Keidranized Nibbly boops Scythe with her nose against his,2017-04-10T00:37:59.571059039Z,15,53,False,0
Mrs. Nibbly dressed like Yoda,2017-04-10T00:37:59.571059039Z,6,36,False,0
Tigress Trace smirking at Vixen Eric,2017-04-10T00:37:59.571059039Z,23,47,False,0
"Characters dressed in merchandise from universities they're the mascot of - Flora would be princeton, Nora would be drexel, etc",2017-04-10T00:37:59.571059039Z,2,36,False,0
Terminator Trace,2017-04-10T00:37:59.571059039Z,3,39,False,0
