,name,date,votes,winner,win_difference
6501,good morning willow wisp,2020-04-05 22:53:34.275536392+00:00,17,False,0
6721,nib nab 5: willow wisp and laura,2020-04-20 01:34:22.720060450+00:00,21,True,1
6756,breed swap: willow-wisp and laura,2020-05-03 21:07:59.959592581+00:00,24,True,2
6835,"magpie wants to go through the forest, but willow wisp tries to dissuade her.",2020-05-04 01:06:05.812567066+00:00,1,False,0
6934,willow against the glass,2020-05-11 00:44:10.222954210+00:00,11,False,0
6947,"sequel to ""magpie finds willow - bonus"". ghost laura scares magpie, than prevents her from stepping into the quicksand.",2020-05-17 21:09:33.391342356+00:00,9,False,0
6993,graph showing the relationship between the proximity of willow's body to willow's lamp and and willow's intelligence quotient (iq).,2020-05-18 00:27:15.592963487+00:00,2,False,0
7002,willow-wisp reference sheet,2020-05-18 00:27:15.592963487+00:00,4,False,0
7029,willow against the glass,2020-05-18 01:38:28.833259246+00:00,3,False,0
7032,willow against the glass,2020-05-24 20:13:38.168259669+00:00,3,False,0
7066,willow-wisp reference sheet,2020-05-24 21:37:30.425027351+00:00,3,False,0
7214,willow against the glass ,2020-06-08 00:29:37.777637370+00:00,20,True,1
7242,willow wisp in the modern au,2020-06-14 21:28:16.028799488+00:00,4,False,0
7313,willow dakimakura,2020-06-15 03:37:11.690737707+00:00,1,False,0
7370,modern laura and willow going through a haunted house attraction,2020-06-21 22:25:54.960175468+00:00,26,True,2
7440,willow dakimakura,2020-07-05 20:53:55.117462034+00:00,2,False,0
7546,"windstraw, willow, and magpie all argue with their ""agent"" about their series being canceled ;3",2020-07-13 00:20:37.437319882+00:00,4,False,0
7569,willow body pillow,2020-07-13 02:08:37.428424217+00:00,2,False,0
7669,willow reference sheet.,2020-08-02 23:18:11.000629534+00:00,4,False,0
7687,"willow, magpie, and windstraw argue with their “agent” about their side comic getting canceled ",2020-08-02 23:18:11.000629534+00:00,2,False,0
7735,willow body pillow,2020-08-03 02:37:13.738839731+00:00,4,False,0
7789,laura and willow as 90s skater girls,2020-08-09 22:26:50.880524815+00:00,12,False,0
7831,willow wisp body pillow,2020-08-10 01:03:56.921922377+00:00,4,False,0
7877,willow-wisp body pillow,2020-08-16 22:34:35.164541116+00:00,9,False,0
7971,willow wisp body pillow,2020-08-23 23:15:50.064954856+00:00,0,False,0
8116,further friendshipping adventures with laura and willow,2020-09-06 21:30:26.292371140+00:00,2,False,0
8184,"modern au: willow getting on a plane, but security is trying to confiscate the lantern.",2020-09-13 23:10:45.135656062+00:00,26,True,1
8233,willow wisp reference sheet,2020-09-14 03:01:47.947221673+00:00,7,False,0
8264,airport security sequel: willow has finally managed to convince security that the lamp is actually her. unfortunately this means that her lamp must occupy the seat and her vessel has to be put in the overhead baggage as a carry on,2020-09-20 20:12:32.345967329+00:00,6,False,0
8296,"windstraw tries to get willow drunk, but it doesn't go according to plan.",2020-09-20 21:33:39.490677209+00:00,9,False,0
8330,willow moving into the apartment of modern laura & kathrin ,2020-09-21 00:49:46.741267648+00:00,26,True,5
8368,"laura learning to drive.  she receives driving lessons from her friend, willow.",2020-10-04 21:42:10.006217931+00:00,10,False,0
8369,"windstraw tries to get willow drunk, but it doesn’t quite go as intended",2020-10-04 21:42:10.006217931+00:00,2,False,0
8395,willow meets ori from will of the wisps.,2020-10-04 23:21:45.723275227+00:00,3,False,0
8413,willow visits her “mother” deep in the forest. ,2020-10-05 01:17:03.354470477+00:00,5,False,0
8481,"laura learning to drive. she receives driving lessons from her friend, willow.",2020-10-11 22:17:56.637093837+00:00,10,False,0
8508,willow and ghost laura go deep into the woods and meet willow’s “mother”,2020-10-11 23:22:06.003441301+00:00,8,False,0
8554,willow uses herself to light up a jack-o-lantern! the not so bright body tries to do the same...,2020-10-18 20:32:13.816869065+00:00,8,False,0
8633,willow and ghost laura go deep into the woods and meet willow’s “mother”,2020-10-19 01:57:21.852372696+00:00,9,False,0
8637,vampire kat gets a blood donation from willow’s body (yet willow is nowhere to be found),2020-10-19 01:57:21.852372696+00:00,1,False,0
8645,maddie gets scared by willow dressed as a classical ghost,2020-10-25 20:06:11.378807296+00:00,1,False,0
8713,willow uses herself to light up a jack-o-lantern! the not so bright body tries to do the same...,2020-10-26 00:21:51.451789436+00:00,30,True,5
8725,willow and ghost laura go deep into the woods and meet willow’s “mother”,2020-10-26 00:21:51.451789436+00:00,7,False,0
8739,"modern au clothes shopping for willow with kat and laura, with nora trying to slip in more raunchy clothes ",2020-11-15 22:12:10.258862555+00:00,40,True,2
8802,"""willow laura and kat recording a podcast",2020-11-16 02:29:22.448401523+00:00,12,False,0
8821,willow body pillow,2020-11-16 03:30:56.866620418+00:00,1,False,0
8840,willow body pillow,2020-11-22 22:19:05.204719348+00:00,1,False,0
8843,"willow, kat and laura recording a podcast, at there house with the microphones connected to laura's pc ",2020-11-22 22:19:05.204719348+00:00,2,False,0
8871,willow and ghost laura go deep into the woods and meet willow’s “mother”,2020-11-22 23:57:36.912202643+00:00,23,False,0
8956,willow body pillow,2020-12-06 21:35:30.878208171+00:00,1,False,0
