,votes,winner,win_difference,all_votes,count
total,103876,591,3653,383574,12129
others,17841,93,585,73071,2388
flora,15811,75,430,62990,1991
trace,14359,70,433,60887,1937
keith,15767,91,651,55359,1727
natani,16295,108,817,52164,1583
kat,14851,109,577,47084,1434
raine,11541,70,429,36814,1097
zen,7212,35,156,26063,795
nora,6054,28,203,23802,779
mike,6501,39,224,21373,694
laura,7342,67,355,18010,639
reni,4250,22,106,16349,526
clovis,4362,21,119,15342,497
maddie,3583,16,137,15778,479
rose,3866,26,125,14723,448
maeve,3591,18,141,14367,433
evals,3057,13,80,11288,349
adelaide,3531,20,171,11299,347
alaric,1544,2,14,6171,178
willow,1432,20,54,4259,166
