,name,votes,winner,win_difference
0,Flora mid human transformation,6,False,0
6222,Laura as a breakfast cereal mascot.,0,False,0
2119,Tracksuits the second. Squatting Taverndatter sisters/gopnitsas.,5,False,0
2096,Hippie Trace & Flora driving down the road in a Volkswagen Bus.,3,False,0
2095,Nibbly rocking out to some metal. \m/,22,False,0
2094,Maeve playing whit her collection of tiger toys/action figures.,11,False,0
2093,"Trace & Flora meeting Kieri & Buwaro from Slightly Damned, going on a double date.",5,False,0
2099,The Female Main Character from the Halfkind comic Returns!,8,False,0
2123,Flora practicing on someone for her up coming baby.,11,False,0
2122,Daniels & Therie wake up in the same bed.,27,False,0
2121,Modern Military Basitins.,19,False,0
2120,Remember Me from the movie Coco.,0,False,0
2118,Mike's worst nightmare come to life! Eric discovers his female form!,56,False,0
1590,Beard buddy's: trace and red with big old beards (not that they are old),3,False,0
2116,"Eric & Albion have a trivia rematch at a gameshow, hosted by Rose.",3,False,0
2117,Zen as Heath Ledger’s Joker.,4,False,0
2114,Dust: An Elysian Tail: Dust accidentally turned into a Nimbat.,9,False,0
2108,Nora turned Keiren into dragon. Reni conflicted. She doesn't approve but dragon Keiren is cute.,31,False,0
2109,Nibbly crawls inside Reni's bags & activates some magic artifacts.,4,False,0
2110,Saria's ghost comforting Rose shortly after Saria's death.,10,False,0
2115,"Feral version of a Basitian, Keith. ",4,False,0
2112,Eric falls for Kat on an Internet Chat.,16,False,0
2111,Keith as Ratchet from Ratchet & Clank game series.,6,False,0
2097,Daniels tries giving Therie catnip (results are as expected).,17,False,0
2098,Trace says yes to Flora's butt being big.,33,False,0
2092,"Keith & Natani cosplaying as Booker Dewitt & Elizabeth, respectively, from Bioshock Infinite.",2,False,0
2100,Flora & a spray bottle. Bad kitty!,7,False,0
2091,"Alaric & Madelyn are fencing/sparring, Madelyn is impossible to land a hit.",3,False,0
2090,Flora as Rey from star wars,1,False,0
2089,"Sealeen tries to use her potions to brew coffee for Landen, but it goes horribly wrong.",4,False,0
2088,Kathrin gets a hold of some japan kimonos & gets Flora & Natani to try them on with her.,9,False,0
2087,Flora listening to King Adelaide & Adira talk of the horrors of child birth.,5,False,0
2086,Alaric possesses Zen to hit on Keith. Natani is less than happy with it,9,False,0
2085,Kat reading Maeve & Maddie a bedtime story,4,False,0
2083,"""Nora turned Keiren into dragon. Reni conflicted. She doesn't approve but dragon Keiren is cute.",2,False,0
2082,"Keith cosplaying as Pip from Paladins, & Natani loves his newfound confidence!",1,False,0
2081,"Dust: An Elysian Tail, Dust accidentally turned into a Nimbat by Fidget.",15,False,0
2080,"Maddie, the Last Airbender",0,False,0
2078,Flora giving Trace Keidran culture lessons,2,False,0
2084,"Mary, Euchre & young Raine having a happy family moment.",11,False,0
2101,"Natani is dressed as Mulan, & Keith as Shang.",17,False,0
2107,"Flora tries to get out of the cardboard box, but is stuck & must have help getting free.",5,False,0
2106,Alaric & Maddie sparring/fencing. Alaric frustrated as Maddie is impossible to hit.,8,False,0
2105,Karen riding on Reni a la How To Train Your Dragon.,41,False,0
2103,"A guard attempts to flirt & win over a female Basitin by flashing some ankles, so lewd.",13,False,0
2102,Baby shower: Adira & Adelaide tell Flora about the horrors of childbirth.,11,False,0
2142,Raine excitedly dictating Eric as he attempts to paint a scene from her fanfic.,27,False,0
2143,"Mrs. Nibbly happening upon one of Natani's bandages, much to Natani's displeasure.",4,False,0
2144,Kathrin in leather with Eric & Zen.,4,False,0
2132,Raine as Elsa from Frozen.,2,False,0
2134,Reni's magic stuff collection room.,2,False,0
2135,Team A as a tank crew.,9,False,0
2136,Sythe as a reluctant squirrel mascot for Nibbly World.,1,False,0
2137,Princess Reni meets & falls in love with Prince Winter of the Icewings.,3,False,0
2131,Cast auditions to Twokinds: the Movie.,8,False,0
2173,"Mrs. Nibbly happening upon one of Natani's bandages, much to Natani's displeasure.",15,False,0
2172,Android Natani vs Android Keith.,1,False,0
2170,Flora & Kathrin both wearing black tights.,28,False,0
2169,Alaric's Inauguration as Master General.,4,False,0
2168,Tiny Trace!,1,False,0
2167,"Sealeen tries to use her potions to brew coffee for Landen, but it goes horribly wrong.",2,False,0
2165,Wrinry flying for the first time after getting her wings back.,2,False,0
2166,"Saria dressed as Pauline from Super Mario Odyssey, w/ Trace as one of her musicians.",2,False,0
2163,Natani & Florence (Freefall) Get body swapped.,8,False,0
2157,Sealeen dressed up & lookin' pretty.,6,False,0
2158,"Happy family moments starring young Raine, Euchre & Mary.",11,False,0
2159,Keith & Trace get drunk on St. Patrick’s Day.,19,False,0
2164,Kat rides a T-Rex though the Jurassic Park gate.,8,False,0
2161,Keith's reaction to Natani in a dress from The Dragon Masquerade.,6,False,0
2133,"Eric falls for a girl in an online chat, turns out it's Kat.",19,False,0
2127,Android Natani vs Android Keith.,0,False,0
2145,Sealeen dressed up & lookin' pretty.,3,False,0
2130,Natani Dakimakura.,10,False,0
2146,"Happy family moments starring young Raine, Euchre & Mary.",5,False,0
2147,Keith & Trace get drunk on St. Patrick’s Day.,22,False,0
2148,"Keith as Knight Artorias from Dark Souls, & puppy Natani as Great Wolf Sif.",3,False,0
2149,Keith's reaction to Natani in a dress from The Dragon Masquerade.,4,False,0
2151,Natani & Florence (Freefall) Get body swapped.,7,False,0
2141,Adira & Maeve entering the Legacy Manor for the first time.,6,False,0
2153,Wrinry flying for the first time after getting her wings back.,1,False,0
2154,"Saria dressed as Pauline from Super Mario Odyssey, w/ Trace as one of her musicians.",0,False,0
2155,"Sealeen tries to use her potions to brew coffee for Landen, but it goes horribly wrong.",5,False,0
2156,Tiny Trace!,2,False,0
2150,Nora being a terrible influence while babysitting hatchling Reni.,12,False,0
2152,Kat rides a T-Rex though the Jurassic Park gate.,1,False,0
2140,Flora & Trace as Adrakists unexpectedly.,8,False,0
2138,"Curious about their relationship, LT. Reed attempts to spy on Trace & Flora.",5,False,0
2124,Alaric's Inauguration as Master General.,14,False,0
2125,Flora & Kathrin both wearing black tights.,38,False,0
2126,Therie & Daniels find magical amulets that switch their races.,15,False,0
2128,Tavern Mixup: Adira accidentally serves Kat human booze. Drunk Kat ensues.,7,False,0
2129,An alternate timeline where a younger Raine was raised by Rose.,31,False,0
2064,Flora giving Trace Keidran culture lessons,28,False,0
2065,Seraphina finally becomes a dragon! Unfortunately for her she's lizard sized.,39,False,0
2066,"Maddie, the Last Airbender",1,False,0
1988,Flora as Indiana Jones.,3,False,0
2019,Samurai Keith,8,False,0
2018,Cast auditions to Twokinds the Movie,9,False,0
2017,Draw Pip from Paladins meeting Flora & being confused for a Basitin!,0,False,0
2016,"Concerned her first advance had gone unnoticed, Adira makes another pass at Trace.",12,False,0
2015,Revenge of the Prankster Pixies,31,False,0
2014,Reni's Family portrait,14,False,0
2013,Princess Clovis poses for her official portrait.,6,False,0
2012,Alaric jumping at Keith bridge scene redux (page 496),22,False,0
2007,Raine v Carver.... but Raine loses,3,False,0
2008,Dragon Laura,18,False,0
2006,Princess Reni meets Prince Winter of the Icewings.,3,False,0
2005,Adrakist Flora dancing in sunbeams.,6,False,0
2004,"Karen: The First FourKind! (Human, Keidran, Basitin, & Dragon)",7,False,0
2003,Reni makes Karen a dragon. Now Karen HAS a dragon.,3,False,0
2011,"Maddie puts on Keith's General uniform, Keith around the corner ""Hey!""",4,False,0
2031,Mike & Evals trying to relax at the mansion unaccustomed to being guests.,6,False,0
2032,Nibbly rocking out to some metal. \m/,16,False,0
2023,Nora turned Keiren into dragon. Reni conflicted. She doesn't approve but dragon Keiren is cute.,35,False,0
