,name,votes,winner,win_difference
0,Flora mid human transformation,6,False,0
3631,Keith's turn to get dragon-ified. Laura & Natani enjoy the results.,6,False,0
7358,Reni accidentally makes Lt. Reed a Lynx Keidran while Keiren struggles to fight back his laughter.,6,False,0
1242,Rick and Morty: Rick needs to steal the flawless Mana Crystal from Clovis for one of his experiments.,6,False,0
12109,Zen moon's Clovis,6,False,0
1783,Saria's ghost returns to gossip with Flora about Trace,6,False,0
8401,"Twokinds History Illustrated: Sythe's first summer living in a human village, as he described in page 828.",6,False,0
7943,Nora taking a bath in a chocolate fondue fountain. Marshmallows on the side.,6,False,0
1814,Duel between “Pegleg” Zen and diplomat Sythe.,6,False,0
7073,"Raine going through the collar training in full wolf form, sitting in a cute begging pose, flustered.",6,False,0
6303,"Magic gone wrong: Seraphina has become human, and Sealeen and Landen are Adrakists!",6,False,0
9765,The Quiet Mekkan.  Laura wakes up on the beach to a deserted world.,6,False,0
9044,Wolf Watchers (Sequel to Peeping Squirrel) - Zen and Sythe attract a small crowd to secretly watch them bathe in the nude,6,False,0
1948,Wolf Red’s primal instincts kick in & he chases his tail,6,False,0
7338,Natani getting cuddled between Keith and FemKeith,6,False,0
3911,Adira cradling baby Maeve shortly after giving birth,6,False,0
1973,Nora & Reni doing an air show,6,False,0
3763,Snowball Fight 2: Reni tries to save Kei from the snowball turned runaway snowboulder,6,False,0
3547,Indiana Raine whipping a crossbow out a guards hand.,6,False,0
3544,Frankenstein monster escapes her creator and meets Raine,6,False,0
6785,Good Morning Tigress Trace,6,False,0
2898,"Nora messes w/ Clovis some more, making an illusion of the daughter from his nightmare",6,False,0
3666,Guy-to-girl night 3: The door to the bar opens to reveal Raine’s “friend” turns out to just be little ol' Nibbly.,6,False,0
3669,"Embarrassed Keith in a cute christmas dress, much to Natani's amusement.",6,False,0
9456,Literally seconds before it all began: Grand Templar Trace tinkering with magic. An assistant warns him it could result in accidental memory loss and random teleportation. But that won't happen... right? ,6,False,0
9458,"Nibbly realizes what's going on between Maren and Sythe, now Nibbly tries get between them and stop them from engaging in an intimate moment.",6,False,0
3678,Reni receives a magical artifact as a Christmas gift from Kei but it turns out to be a dud. ,6,False,0
3685,"Madelyn, Maeve, and Karen all having a girls night out.",6,False,0
3640,"Natani opens a gift containing some very small, frilly, lacy, clothing. Keith swears its a mistake! (It's not)",6,False,0
2903,"Backside comparison, sythe & zen w/ Nibbly as judge.",6,False,0
2899,Maren & Raine express their true feelings for one another,6,False,0
3730,How Alabaster Stole Christmas,6,False,0
1876,Flora as a WWII ace next to a P-51 w/ the flying tiger mouth style finish on the nose.,6,False,0
2886,Flora as a living plush,6,False,0
3691,"More of Eric's Twokinds: Alaric's back, and has his eyes on gender bent Keith",6,False,0
6846,West Basitin Kat & West Basitin FemKeith aggressively painting each other's bodies,6,False,0
1262,Group A as a party from Darkest Dungeon,6,False,0
11120,Modern AU: Laura helping a spooked Kat beat a horror game late at night,6,False,0
11119,"Thomas the Tank Engine version of characters.  Trace the tank engine, Zen and Red as troublesome trucks, and Natani the helicopter.",6,False,0
188,Alaric,6,False,0
1835,Nibbly rocking out to some metal. \m/,6,False,0
3578,"Kat in a Trooper uniform from Starship Troopers, standing at attention & saying ""I'm doing my part!""",6,False,0
9696,TwoKids: Young Trace and Kid Keith frolic outdoors with Kitten Flora and Puptani.,6,False,0
2327,Return of the Main Character from Halfkind: Tom's pre-comic before Twokinds,6,False,0
6477,Flora and kathrin as living plushes ,6,False,0
9877,Mafia Nat and Zen are ordered to perform a hit on Keith (Member of Flora and Trace's gang) but things don't go as planned,6,False,0
9433,Good news! Clovis found a way to make Sam a Keidran again! Less good news! He's still a cow... and a she.,6,False,0
6512,The Templars attack the Tiger village and the explorers must defend their new home - but are they equally committed?,6,False,0
3968,Kat drawn as Eevee and Flora drawn as Pikachu from Let's Go Pokemon,6,False,0
11842,Modern AU Reni and Chimera hanging out at a cafe,6,False,0
7909,Natani and Keith sit in front of the burning fireplace in a log cabin in a snow-covered coniferous forest in Canada. Natani has her head on Keith's shoulder.,6,False,0
9984,Zen and Kat are running away from a angry snowman that came to life after they used mana crystals as decoration.,6,False,0
11830,Kris and Susie from Deltarune fell into the Twokinds world,6,False,0
10021,Good Morning Mike (male),6,False,0
10017,Cute Demon. Shadow Nibbs in anthro form.,6,False,0
8201,"Kat shows off a new custom swimsuit conveniently framed by the beach, encouraged at Eric’s seemingly overly enthusiastic reaction, not realizing the reason for his excitement is the 100 foot wave behind her rushing to shore",6,False,0
9978,Zen Daki,6,False,0
9946,Keith and Alaric’s duel in the style of a cheesy wild west standoff,6,False,0
399,"Pixie Panic aftermath 2: Mike & Evals, all dolled up.",6,False,0
3945,Clovis is sold to Eric who needed a new vixen to model for his art. He loses his temper due to Eric's directions.,6,False,0
4009,"Natani's Magical Chest Wraps store, customers include Fem-Clovis and Shiro from Rascals",6,False,0
4013,"Kat designs some clothes for Magpie that actually fit, and tries on Magpies outfit herself",6,False,0
9957,"Young Nora, naïve on intimacy, tries acting seductive but trips, with her 1st mate asking if she’s OK, offering to help her up.",6,False,0
9353,"Couple retreat: Keith and Nat shocked to see King Jade on the island with her new ""boyfriend"" ( A Male dragon held against his will by King) Maddie not sure how to react.",6,False,0
7550,Laura possesses Keith and plays around in his body as he gets flustered.,6,False,0
9283,Modern AU: Keith takes Laura to the gun range to test her gamer FPS skills.,6,False,0
10459,Ghost Laura and Brutus cheering on Kat and Rom as they fight,6,False,0
11910,White Tigress Adelaide ,6,False,0
7649,Good Morning Adelaide...except she's embarrass cause she can't fit your human size bed.,6,False,0
4061,"A ""Nora's Victim Support Group"" informational pamphlet (have YOU been transformed the mischievous Lady Nora?)",6,False,0
9854,Willow daki,6,False,0
9381,Viking Maeve ,6,False,0
9383,"Windstraw enters a drinking competition to help the bar get more visitors, but gets drunk after one shot.",6,False,0
4027,"Mike's a lucky fox this valentines day, thanks to Nora working her magic on Evalyn",6,False,0
10194,Keith and Natani cuddling in bed,6,False,0
317,What would we get if we but Kathrin and Zen go for a date?,6,False,0
10123,Kat as a sexy femme fatale noir character… but it turns out shes's just fantasizing about the book she's reading,6,False,0
8974,"Clovis Scrooge is visited by Laura, Brutus, and Nibbs as the Ghosts of Christmas Past, Present, and Future.",6,False,0
7740,"Euchre as Merlin telling a young Trace as Arthur “If you think magic will solve all your problems, it won’t!” (Disney’s Sword in the Stone reference)",6,False,0
6323,The Solider from Basitin Flirting learning how to properly flirt with a Basitin.,6,False,0
4097,Karen finally gets to fondle Basitin ears after transforming Kat with magic ankle wraps.,6,False,0
10149,"Flora gets a case of the zoomies in the middle of the night and as a result, Trace looks like he hasn't slept in days. ",6,False,0
4076,"Sequel to Binding Bargain. Clovis tries to use magical bandages, but Nora’s curse doesn't let him/her do it.",6,False,0
7768,Portrait of Cat Nora (Cat Nora still shows her beauty in her portrait),6,False,0
323,"""Bad pillow"" Raine is sleeping on Maren and Karen is sleeping on Raine's tail. According to page 968.",6,False,0
4087,Captain Raine makes Clovis walk the plank.,6,False,0
