,flora,trace,keith,natani,kat,raine,zen,nora,mike,laura,reni,clovis,maddie,rose,maeve,evals,adelaide,alaric,willow
flora,0.03766951280763436,0.03539019963702359,0.03308823529411765,0.051643192488262914,0.05813953488372093,0.02857142857142857,0.045454545454545456,0.021739130434782608,0.23529411764705882,0.1282051282051282,0.038461538461538464,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
trace,0.03539019963702359,0.036138358286009295,0.030211480362537766,0.04597701149425287,0.046875,0.06896551724137931,0.043478260869565216,0.04524886877828054,0.1111111111111111,0.06779661016949153,0.023809523809523808,0.14285714285714285,0.0,0.07317073170731707,0.1,0.1111111111111111,0.0,0.0,0.0
keith,0.03308823529411765,0.030211480362537766,0.052692530399536766,0.06855277475516866,0.07920792079207921,0.0,0.035211267605633804,0.023255813953488372,0.03333333333333333,0.04961832061068702,0.1,0.2222222222222222,0.05,0.0,0.0,0.0,0.2,0.009009009009009009,0.0
natani,0.051643192488262914,0.04597701149425287,0.06855277475516866,0.06822488945041061,0.1144578313253012,0.057971014492753624,0.055762081784386616,0.027777777777777776,0.07692307692307693,0.04395604395604396,0.07692307692307693,0.06,0.125,0.0,0.0,0.125,0.15555555555555556,0.0,0.0
kat,0.05813953488372093,0.046875,0.07920792079207921,0.1144578313253012,0.07601115760111576,0.05,0.07462686567164178,0.20689655172413793,0.08783783783783784,0.14130434782608695,0.10526315789473684,0.05555555555555555,0.11764705882352941,0.23076923076923078,0.08,0.04838709677419355,0.0,0.0,0.21621621621621623
raine,0.02857142857142857,0.06896551724137931,0.0,0.057971014492753624,0.05,0.06381039197812215,0.037209302325581395,0.043478260869565216,0.07142857142857142,0.13333333333333333,0.14285714285714285,0.15384615384615385,0.0,0.057692307692307696,0.0,0.1,0.125,0.0,0.0
zen,0.045454545454545456,0.043478260869565216,0.035211267605633804,0.055762081784386616,0.07462686567164178,0.037209302325581395,0.0440251572327044,0.0,0.0,0.5,0.3333333333333333,0.07142857142857142,0.2,0.0,0.0,0.125,0.0,0.0,0.0
nora,0.021739130434782608,0.04524886877828054,0.023255813953488372,0.027777777777777776,0.20689655172413793,0.043478260869565216,0.0,0.03594351732991014,0.03125,0.13636363636363635,0.013888888888888888,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
mike,0.23529411764705882,0.1111111111111111,0.03333333333333333,0.07692307692307693,0.08783783783783784,0.07142857142857142,0.0,0.03125,0.056195965417867436,0.14285714285714285,0.08333333333333333,0.10526315789473684,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0
laura,0.1282051282051282,0.06779661016949153,0.04961832061068702,0.04395604395604396,0.14130434782608695,0.13333333333333333,0.5,0.13636363636363635,0.14285714285714285,0.10485133020344288,0.5,0.0,0.25,0.0,0.5,0.0,0.14285714285714285,0.030303030303030304,0.21311475409836064
reni,0.038461538461538464,0.023809523809523808,0.1,0.07692307692307693,0.10526315789473684,0.14285714285714285,0.3333333333333333,0.013888888888888888,0.08333333333333333,0.5,0.04182509505703422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
clovis,0.0,0.14285714285714285,0.2222222222222222,0.06,0.05555555555555555,0.15384615384615385,0.07142857142857142,0.08,0.10526315789473684,0.0,0.0,0.04225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maddie,0.0,0.0,0.05,0.125,0.11764705882352941,0.0,0.2,0.0,0.0,0.25,0.0,0.0,0.033402922755741124,0.0,0.026595744680851064,0.0,0.1,0.0,0.0
rose,0.0,0.07317073170731707,0.0,0.0,0.23076923076923078,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05803571428571429,0.0,0.0,0.0,0.0,0.0
maeve,0.06666666666666667,0.1,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.026595744680851064,0.0,0.04157043879907621,0.0,0.09090909090909091,0.0,0.0
evals,0.0,0.1111111111111111,0.0,0.125,0.04838709677419355,0.1,0.125,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.03724928366762178,0.0,0.0,0.0
adelaide,0.0,0.0,0.2,0.15555555555555556,0.0,0.125,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.1,0.0,0.09090909090909091,0.0,0.05763688760806916,0.0,0.0
alaric,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0
willow,0.0,0.0,0.0,0.0,0.21621621621621623,0.0,0.0,0.3333333333333333,0.0,0.21311475409836064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12048192771084337
